base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ss03,ss03,HwCw - Salal (03),True,0.04,0.04,4,3,1.9111114444420338,0.0003972502434692409,181.7198772366682,0.03777292302100311,0.7084504515927401,0.010516799116879449
9,cwh_dm_x_cw_hw,cwh_dm_x_cw_hw_ssnonforested,ssnonforested,Non-forested,True,0.04,0.04,1,1,1.3691385844589736,0.00028459388781393275,181.7198772366682,0.03777292302100311,0.7084504515927401,0.007534335843050543
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss01,HwBa - Blueberry (01),False,0.04,0.03,7,4,49.41135363799333,0.010270815090309074,145.1577843037702,0.03017299976086103,0.7386234513536011,0.3403975465386734
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss06,HwBa - Deer fern (06),False,0.04,0.03,11,7,45.184234999790334,0.00939215157066814,145.1577843037702,0.03017299976086103,0.7386234513536011,0.3112766925763606
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss03,HwCw - Salal (03),False,0.04,0.03,3,3,22.152797529787186,0.004604757214879249,145.1577843037702,0.03017299976086103,0.7386234513536011,0.15261184672968178
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss04,CwHw - Swordfern (04),False,0.04,0.03,2,2,21.14910860170704,0.00439612695827816,145.1577843037702,0.03017299976086103,0.7386234513536011,0.1456973782229172
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss07,BaCw - Salmonberry (07),False,0.04,0.03,5,5,5.61229595971029,0.0011665912748836415,145.1577843037702,0.03017299976086103,0.7386234513536011,0.038663417099047866
10,cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,ss02,FdPl - Cladina (02),False,0.04,0.03,1,1,1.6479935747820131,0.00034255765184276575,145.1577843037702,0.03017299976086103,0.7386234513536011,0.011353118833319156
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss05,BaCw - Foamflower (05),False,0.04,0.02,9,5,41.90915149850712,0.0087113813717085,112.71775703381553,0.0234299033450993,0.7620533546987004,0.37180611645718165
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss03,HwCw - Salal (03),False,0.04,0.02,9,5,21.315418879422136,0.004430696788575549,112.71775703381553,0.0234299033450993,0.7620533546987004,0.18910435622869493
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss04,CwHw - Swordfern (04),False,0.04,0.02,4,2,17.365247056968773,0.003609600393188163,112.71775703381553,0.0234299033450993,0.7620533546987004,0.15405955116512093
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss02,FdPl - Cladina (02),False,0.04,0.02,3,3,10.255959434180069,0.0021318392467835306,112.71775703381553,0.0234299033450993,0.7620533546987004,0.0909879659076543
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss01,HwBa - Blueberry (01),False,0.04,0.02,5,3,8.543996734639043,0.001775984751128262,112.71775703381553,0.0234299033450993,0.7620533546987004,0.07579991794971425
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss06,HwBa - Deer fern (06),False,0.04,0.02,1,1,6.630440366639568,0.0013782262973810273,112.71775703381553,0.0234299033450993,0.7620533546987004,0.05882338809004533
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss05,Cw - Swordfern (05),False,0.04,0.02,1,1,1.9916315720676259,0.0004139874360575986,112.71775703381553,0.0234299033450993,0.7620533546987004,0.0176691909462866
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss01,Hw - Flatmoss (01),False,0.04,0.02,1,1,1.9558158430027655,0.0004065426545759001,112.71775703381553,0.0234299033450993,0.7620533546987004,0.01735144394699069
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss02,HwPl - Cladina (02),False,0.04,0.02,1,1,1.4528700435723714,0.00030199859888694046,112.71775703381553,0.0234299033450993,0.7620533546987004,0.01288945133229104
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss07,BaCw - Salmonberry (07),False,0.04,0.02,1,1,0.6624302156625699,0.00013769503877894825,112.71775703381553,0.0234299033450993,0.7620533546987004,0.005876893163016361
11,cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,ss14,CwSs - Skunk cabbage (14),False,0.04,0.02,2,2,0.634795389153488,0.00013195076803487965,112.71775703381553,0.0234299033450993,0.7620533546987004,0.005631724813003937
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss03,HwCw - Salal (03),False,0.04,0.02,5,4,25.409903437129973,0.005281790528901805,94.25025961407141,0.019591185374152918,0.7816445400728533,0.2696003548550047
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss05,Cw - Swordfern (05),False,0.04,0.02,4,2,20.66840992514248,0.004296207266595101,94.25025961407141,0.019591185374152918,0.7816445400728533,0.21929286995891437
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss05,BaCw - Foamflower (05),False,0.04,0.02,7,2,19.259062664860554,0.004003255464172527,94.25025961407141,0.019591185374152918,0.7816445400728533,0.20433962456677635
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss01,Hw - Flatmoss (01),False,0.04,0.02,2,2,16.736225335983537,0.0034788497598143044,94.25025961407141,0.019591185374152918,0.7816445400728533,0.1775721934826888
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss01,HwBa - Blueberry (01),False,0.04,0.02,3,3,5.831714236055446,0.0012122003177017398,94.25025961407141,0.019591185374152918,0.7816445400728533,0.061874781670996915
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss06,HwBa - Deer fern (06),False,0.04,0.02,1,1,3.3502313380849884,0.0006963906885718561,94.25025961407141,0.019591185374152918,0.7816445400728533,0.03554612318102097
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ss03,FdHw - Salal (03),False,0.04,0.02,2,1,1.6880157868746002,0.0003508768074546456,94.25025961407141,0.019591185374152918,0.7816445400728533,0.01790993249022926
12,cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,ssnonforestedaquatic,Non-forested: aquatic,False,0.04,0.02,1,1,1.3066968899398317,0.00027161454094093906,94.25025961407141,0.019591185374152918,0.7816445400728533,0.01386411979436865
13,cwh_vm_1_cw_fdc,cwh_vm_1_cw_fdc,ss01,HwBa - Blueberry (01),False,0.04,0.02,6,4,28.393718786357766,0.005902016721045228,93.12984876206522,0.01935829289420914,0.8010028329670624,0.3048831192553535
