source_feature_class,res_key,forest_cover_id,bec,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,leading_species_1_share,leading_species_2_share,species_count,tie_break_used,shape_area_ha,au_id,assignment_status
resultant,1685,853,CWHdm,cwh,dm,x,dr,act,50.0,20.0,5,False,0.20343440003809002,cwh_dm_x_dr_act,assigned
resultant,1686,853,CWHdm,cwh,dm,x,dr,act,50.0,20.0,5,False,2.1633661134711524,cwh_dm_x_dr_act,assigned
resultant,15,266,CWHdm,cwh,dm,x,dr,cw,70.0,30.0,2,False,7.437045951646632,cwh_dm_x_dr_cw,assigned
resultant,16,266,CWHdm,cwh,dm,x,dr,cw,70.0,30.0,2,False,0.1188661096642116,cwh_dm_x_dr_cw,assigned
resultant,179,28,CWHdm,cwh,dm,x,dr,cw,67.0,33.0,2,False,0.33660184013274036,cwh_dm_x_dr_cw,assigned
resultant,430,75,CWHdm,cwh,dm,x,dr,cw,60.0,15.0,4,True,7.722649090303951,cwh_dm_x_dr_cw,assigned
resultant,439,621,CWHdm,cwh,dm,x,dr,cw,60.0,20.0,4,False,1.5884914808115003,cwh_dm_x_dr_cw,assigned
resultant,495,631,CWHdm,cwh,dm,x,dr,cw,80.0,20.0,2,False,1.2975678114079607,cwh_dm_x_dr_cw,assigned
resultant,517,492,CWHdm,cwh,dm,x,dr,cw,65.0,25.0,4,False,3.0712939377102293,cwh_dm_x_dr_cw,assigned
resultant,585,918,CWHdm,cwh,dm,x,dr,cw,35.0,30.0,5,False,2.263434822504812,cwh_dm_x_dr_cw,assigned
resultant,586,918,CWHdm,cwh,dm,x,dr,cw,35.0,30.0,5,False,2.555198223735729,cwh_dm_x_dr_cw,assigned
resultant,587,918,CWHdm,cwh,dm,x,dr,cw,35.0,30.0,5,False,0.1353894377885839,cwh_dm_x_dr_cw,assigned
resultant,737,239,CWHdm,cwh,dm,x,dr,cw,80.0,10.0,3,True,3.4895343883407586,cwh_dm_x_dr_cw,assigned
resultant,789,95,CWHdm,cwh,dm,x,dr,cw,40.0,30.0,3,True,2.4276056201503495,cwh_dm_x_dr_cw,assigned
resultant,852,900,CWHdm,cwh,dm,x,dr,cw,75.0,15.0,3,False,1.7249065575743945,cwh_dm_x_dr_cw,assigned
resultant,853,900,CWHdm,cwh,dm,x,dr,cw,75.0,15.0,3,False,0.8756555977303244,cwh_dm_x_dr_cw,assigned
resultant,868,9,CWHdm,cwh,dm,x,dr,cw,47.0,27.0,4,False,0.32183215928098335,cwh_dm_x_dr_cw,assigned
resultant,869,9,CWHdm,cwh,dm,x,dr,cw,47.0,27.0,4,False,0.49683487579720015,cwh_dm_x_dr_cw,assigned
resultant,870,9,CWHdm,cwh,dm,x,dr,cw,47.0,27.0,4,False,0.25304491421044667,cwh_dm_x_dr_cw,assigned
resultant,1336,67,CWHdm,cwh,dm,x,dr,cw,35.0,30.0,4,False,0.7074762432697842,cwh_dm_x_dr_cw,assigned
resultant,1625,918,CWHdm,cwh,dm,x,dr,cw,35.0,30.0,5,False,1.0039874458686373,cwh_dm_x_dr_cw,assigned
resultant,1756,900,CWHdm,cwh,dm,x,dr,cw,75.0,15.0,3,False,2.2503066442251907,cwh_dm_x_dr_cw,assigned
resultant,428,69,CWHdm,cwh,dm,x,dr,ep,40.0,30.0,4,False,3.852319009801047,cwh_dm_x_dr_ep,assigned
resultant,873,193,CWHdm,cwh,dm,x,dr,ep,45.0,25.0,4,False,0.1333220462654708,cwh_dm_x_dr_ep,assigned
resultant,874,193,CWHdm,cwh,dm,x,dr,ep,45.0,25.0,4,False,2.2752624424137093,cwh_dm_x_dr_ep,assigned
resultant,933,978,CWHdm,cwh,dm,x,dr,ep,75.0,15.0,4,False,1.2093882810621481,cwh_dm_x_dr_ep,assigned
resultant,1251,976,CWHdm,cwh,dm,x,dr,ep,60.0,15.0,4,True,0.8472500890295536,cwh_dm_x_dr_ep,assigned
resultant,1252,976,CWHdm,cwh,dm,x,dr,ep,60.0,15.0,4,True,0.20574431421101758,cwh_dm_x_dr_ep,assigned
resultant,1253,976,CWHdm,cwh,dm,x,dr,ep,60.0,15.0,4,True,1.3005623800141572,cwh_dm_x_dr_ep,assigned
resultant,1608,976,CWHdm,cwh,dm,x,dr,ep,60.0,15.0,4,True,1.015385530878622,cwh_dm_x_dr_ep,assigned
resultant,1650,69,CWHdm,cwh,dm,x,dr,ep,40.0,30.0,4,False,0.6115066225906498,cwh_dm_x_dr_ep,assigned
resultant,247,914,CWHdm,cwh,dm,x,dr,fdc,45.0,40.0,3,False,1.651463245313898,cwh_dm_x_dr_fdc,assigned
resultant,262,908,CWHdm,cwh,dm,x,dr,fdc,95.0,5.0,2,False,0.3435858318965035,cwh_dm_x_dr_fdc,assigned
resultant,338,708,CWHdm,cwh,dm,x,dr,fdc,60.0,20.0,4,False,1.2265908228791766,cwh_dm_x_dr_fdc,assigned
resultant,463,935,CWHdm,cwh,dm,x,dr,fdc,35.0,30.0,4,True,1.1434851765449894,cwh_dm_x_dr_fdc,assigned
resultant,826,820,CWHdm,cwh,dm,x,dr,fdc,90.0,5.0,3,True,0.8953866521255999,cwh_dm_x_dr_fdc,assigned
resultant,980,190,CWHdm,cwh,dm,x,dr,fdc,45.0,25.0,5,False,4.704648956909954,cwh_dm_x_dr_fdc,assigned
