au,BA,CW,DR,FD,HW,YC,Dec,Oth
658,0,10,0,60,30,0,0,0
659,0,10,0,40,50,0,0,0
660,0,20,0,5,75,0,0,0
661,0,37,0,6,57,0,0,0
662,20,20,0,0,60,0,0,0
663,0,25,0,0,75,0,0,0
664,5,40,0,30,10,10,0,5
665,0,20,0,5,75,0,0,0
666,0,10,0,20,70,0,0,0
667,0,10,0,0,90,0,0,0
668,0,35,0,30,35,0,0,0
669,0,10,0,35,55,0,0,0
670,0,25,0,20,55,0,0,0
671,0,10,0,20,70,0,0,0
672,0,15,0,20,65,0,0,0
673,0,10,0,40,50,0,0,0
674,0,25,0,15,60,0,0,0
675,0,15,15,10,60,0,0,0
676,0,25,5,40,15,0,15,0
677,0,10,0,10,80,0,0,0
678,0,20,0,40,40,0,0,0
679,0,40,0,5,55,0,0,0
680,0,10,0,5,85,0,0,0
681,0,30,0,15,55,0,0,0
682,0,20,0,0,80,0,0,0
683,0,5,0,5,90,0,0,0
684,0,30,0,15,55,0,0,0
685,0,18,0,2,80,0,0,0
687,0,0,0,5,95,0,0,0
688,0,0,0,70,30,0,0,0
689,3,15,0,2,75,5,0,0
690,0,20,0,10,70,0,0,0
691,0,15,0,10,75,0,0,0
692,0,20,0,20,60,0,0,0
693,15,30,0,0,55,0,0,0
694,0,15,0,25,60,0,0,0
696,0,0,0,0,100,0,0,0
697,0,20,0,15,65,0,0,0
698,0,0,0,30,70,0,0,0
699,0,40,0,15,45,0,0,0
700,0,20,0,5,75,0,0,0
701,0,20,0,50,20,0,10,0
702,0,40,0,3,57,0,0,0
703,0,65,10,0,20,0,5,0
704,0,35,5,15,45,0,0,0
705,0,20,0,10,70,0,0,0
706,0,50,10,10,30,0,0,0
707,0,0,2,80,18,0,0,0
708,0,0,60,20,10,0,10,0
709,0,50,10,5,35,0,0,0
710,5,40,0,5,50,0,0,0
711,10,30,0,0,60,0,0,0
712,0,45,0,15,40,0,0,0
713,0,40,0,10,50,0,0,0
714,0,65,10,0,25,0,0,0
715,0,35,0,5,60,0,0,0
716,0,30,0,0,70,0,0,0
717,0,70,0,0,30,0,0,0
718,0,0,0,20,80,0,0,0
719,0,80,0,0,20,0,0,0
720,0,37,3,5,55,0,0,0
721,0,50,0,3,47,0,0,0
722,0,55,0,5,40,0,0,0
723,0,15,0,3,82,0,0,0
724,0,50,0,0,50,0,0,0
725,0,57,0,5,38,0,0,0
726,0,10,0,15,75,0,0,0
727,0,7,3,35,55,0,0,0
728,0,5,20,30,45,0,0,0
729,0,15,0,35,50,0,0,0
730,0,10,0,50,40,0,0,0
731,0,10,0,10,80,0,0,0
732,0,5,0,5,90,0,0,0
733,0,15,0,5,80,0,0,0
734,0,15,0,20,65,0,0,0
735,0,10,0,20,70,0,0,0
736,0,10,0,15,75,0,0,0
737,0,15,0,0,85,0,0,0
738,0,5,0,30,65,0,0,0
739,0,40,0,0,60,0,0,0
740,0,20,0,25,55,0,0,0
741,0,25,0,0,75,0,0,0
742,25,0,0,5,70,0,0,0
743,10,70,0,0,20,0,0,0
744,0,100,0,0,0,0,0,0
745,0,15,0,15,70,0,0,0
746,0,20,0,10,70,0,0,0
747,0,0,40,5,35,0,20,0
748,0,20,0,20,60,0,0,0
749,0,5,0,25,70,0,0,0
